,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Avg 2Y Win Pct,Coach Tenure Class
523,Otto Graham,1966,45,0,0,0,7,0,0,0,0,,,,,,,,,,0.42857142857142855,0.7692307692307692,0.3846153846153846,0.38461538461538464,0.5833333333333334,0.0,0.0,0.48214285714285715,1
524,Paddy Driscoll,1920,25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0.0,0.0,0.6,1
525,Paddy Driscoll,1956,61,1,0,0,4,0,0,3,1,,,,,,,1.0,0.5361990950226244,1.0,0.6666666666666666,0.2727272727272727,0.6363636363636364,0.5909090909090909,0.8,0.0,0.0,0.6041666666666666,0
526,Pat Boland,1946,40,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.4166666666666667,0
527,Pat Peppler,1976,54,0,0,0,0,0,0,0,0,,,,,,,,,,0.25,0.14,0.21999999999999997,0.12,0.16666666666666669,0.0,0.0,0.3333333333333333,0
528,Pat Shurmur,2011,46,0,9,0,0,10,2,0,0,0.14516129032258068,0.09677419354838712,0.46774193548387094,,,,,,,0.3125,0.3225806451612903,0.2258064516129032,0.06451612903225806,0.16666666666666669,0.0,0.0,0.28125,0
529,Pat Shurmur,2015,50,1,9,0,0,10,4,2,1,0.5322580645161291,0.5080645161290323,0.4596774193548387,,,,0.11290322580645162,0.2096774193548387,0.6290322580645161,0.625,0.5483870967741935,0.7580645161290323,0.6935483870967742,0.8333333333333334,0.5,0.0,1.0,0
530,Pat Shurmur,2018,53,2,9,0,0,11,5,3,1,0.5612903225806452,0.5483870967741936,0.5548387096774194,,,,0.13978494623655915,0.26881720430107525,0.5268817204301075,0.4375,0.3709677419354839,0.3387096774193548,0.1774193548387097,0.33333333333333337,0.5,0.0,0.28125,0
531,Paul Brown,1946,38,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,0.0,0.0,0.875,3
532,Paul Brown,1968,60,1,0,0,3,0,0,17,0,,,,,,,0.819724393253805,0.901990166696049,0.8410755910755912,,,,,,0.0,0.0,0.26785714285714285,3
533,Paul Schissler,1933,40,0,0,0,14,0,0,0,0,,,,,,,,,,0.4277777777777778,1.0,0.42063492063492064,0.7857142857142857,0.4761904761904762,0.0,0.0,0.2954545454545454,0
534,Paul Schissler,1935,42,1,0,0,14,0,0,2,0,,,,,,,0.3611111111111111,0.3666666666666667,0.4111111111111111,0.45681818181818185,0.3222222222222222,0.4833333333333334,0.38333333333333336,0.625,,,0.375,0
535,Paul Wiggin,1975,41,0,0,0,0,6,1,0,0,,,,0.56,0.6,0.88,,,,0.4642857142857143,0.8,0.44,0.38,0.5,0.0,0.0,0.35714285714285715,1
536,Perry Fewell,2009,47,0,11,0,0,8,3,0,0,,,,0.3548387096774193,0.5806451612903226,0.4301075268817205,,,,0.4375,0.5,0.3064516129032258,0.14516129032258063,0.33333333333333337,0.0,0.0,0.42857142857142855,0
537,Pete Carroll,1994,43,0,2,4,0,6,4,0,0,,,,0.49074074074074076,0.5648148148148149,0.7037037037037037,,,,0.375,0.6481481481481481,0.35185185185185186,0.5925925925925926,0.375,0.0,0.0,0.375,0
538,Pete Carroll,1997,46,1,2,4,0,6,6,1,1,,,,0.6260110685398041,0.6868880374627503,0.7047679863771817,0.11111111111111116,0.2592592592592593,0.8518518518518519,0.53125,0.4827586206896552,0.5172413793103448,0.5,0.625,0.5,1.0,0.59375,1
